State,County,Current Landfill Status,Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,State and County,,,,,,,,
AK,Aleutians West,Closed,,,,AK Aleutians West,0,,,,,,,
AK,Anchorage,Open,"27,104,639","10,097,255",2019,AK Anchorage,13392608,,,,,,,
AK,Anchorage,Closed,"3,295,353","3,295,353",1987,AK Anchorage,,,,,,,,
AK,Fairbanks North Star,Open,"10,518,622","4,388,500",2019,AK Fairbanks North Star,4388500,,,,,,,
AK,Juneau,Open,"1,770,499","923,523",2019,AK Juneau,923523,,,,,,,
AK,Kenai Peninsula,Open,"2,703,698","1,680,681",2019,AK Kenai Peninsula,1680681,,,,,,,
AK,Kodiak Island,Closed,,"228,688",2007,AK Kodiak Island,228688,,,,,,,
AK,Matanuska-Susitna,Open,"41,974,220","1,941,322",2019,AK Matanuska-Susitna,1941322,,,,,,,
AL,Baldwin,Open,"6,408,237","4,125,565",2019,AL Baldwin,4125565,,,,,,,
AL,Blount,Closed,,,,AL Blount,0,,,,,,,
AL,Calhoun,Closed,,"4,350,000",,AL Calhoun,4350000,,,,,,,
AL,Cherokee,Open,"39,848,970","5,067,552",2019,AL Cherokee,5067552,,,,,,,
AL,Chilton,Closed,,,,AL Chilton,0,,,,,,,
AL,Coffee,Open,"6,765,340","3,972,893",2019,AL Coffee,3972893,,,,,,,
AL,Colbert,Open,"5,300,000","3,200,000",2009,AL Colbert,3200000,,,,,,,
AL,Cullman,Closed,,"912,793",1993,AL Cullman,2784324,,,,,,,
AL,Cullman,Open,"2,937,045","1,871,531",2019,AL Cullman,,,,,,,,
AL,DeKalb,Open,"28,041,435","9,243,125",2019,AL DeKalb,9243125,,,,,,,
AL,Escambia,Open,"22,340,335","13,937,248",2019,AL Escambia,13937248,,,,,,,
AL,Houston,Open,"5,266,741","3,819,306",2019,AL Houston,3819306,,,,,,,
AL,Jackson,Open,,"1,045,610",2019,AL Jackson,1798003,,,,,,,
AL,Jackson,Closed,,"752,393",,AL Jackson,,,,,,,,
AL,Jefferson,Open,"4,469,515","4,394,836",2019,AL Jefferson,28310278,,,,,,,
AL,Jefferson,Open,"19,347,893","5,167,255",2019,AL Jefferson,,,,,,,,
AL,Jefferson,Open,"3,483,997","1,665,314",2019,AL Jefferson,,,,,,,,
AL,Jefferson,Open,"9,644,756","7,758,371",2019,AL Jefferson,,,,,,,,
AL,Jefferson,Closed,,"9,324,502",,AL Jefferson,,,,,,,,
AL,Lauderdale,Closed,,"1,361,816",2009,AL Lauderdale,2823728,,,,,,,
AL,Lauderdale,Closed,,"1,461,912",,AL Lauderdale,,,,,,,,
AL,Lawrence,Open,"16,643,163","6,323,865",2019,AL Lawrence,6323865,,,,,,,
AL,Lee,Open,"35,878,843","12,171,155",2019,AL Lee,12171155,,,,,,,
AL,Limestone,Closed,,"1,195,575",,AL Limestone,1195575,,,,,,,
AL,Madison,Open,,"11,928,823",2019,AL Madison,11928823,,,,,,,
AL,Marshall,Closed,,"2,700,000",,AL Marshall,2700000,,,,,,,
AL,Mobile,Open,"37,173,934","7,585,362",2019,AL Mobile,9404065,,,,,,,
AL,Mobile,Closed,,"967,998",,AL Mobile,,,,,,,,
AL,Mobile,Closed,,"850,705",,AL Mobile,,,,,,,,
AL,Monroe,Closed,,"1,205,385",1998,AL Monroe,1205385,,,,,,,
AL,Montgomery,Open,,"10,840,930",2019,AL Montgomery,10840930,,,,,,,
AL,Morgan,Open,"11,360,146","6,094,528",2019,AL Morgan,6094528,,,,,,,
AL,Perry,Open,"36,527,758","4,583,042",2019,AL Perry,4583042,,,,,,,
AL,Pike,Open,"23,947,035","885,933",2019,AL Pike,885933,,,,,,,
AL,Shelby,Open,"4,520,250","3,395,576",2019,AL Shelby,3395576,,,,,,,
AL,St. Clair,Open,"61,657,070","5,156,207",2019,AL St. Clair,10112269,,,,,,,
AL,St. Clair,Open,"37,005,755","4,956,062",2019,AL St. Clair,,,,,,,,
AL,Tallapoosa,Open,"26,921,459","6,421,190",2019,AL Tallapoosa,6421190,,,,,,,
AL,Tuscaloosa,Open,"9,826,872","7,330,089",2019,AL Tuscaloosa,7330089,,,,,,,
AL,Walker,Open,"20,503,116","10,653,841",2019,AL Walker,10653841,,,,,,,
AL,Walker,Closed,,,,AL Walker,,,,,,,,
AL,Washington,Open,"23,280,092","1,852,870",2019,AL Washington,1852870,,,,,,,
AL,Winston,Open,,,,AL Winston,0,,,,,,,
AR,Arkansas,Open,,,,AR Arkansas,0,,,,,,,
AR,Ashley,Open,,,,AR Ashley,0,,,,,,,
