State,County,Zip Code,Landfill Name,City,Ownership Type,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,LFG Generated (mmscfd),,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,20TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,40TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,60TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,80TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,80TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA
MA,Hampshire,1002,Amherst LF,Amherst,Public,1982,2003,Closed,,"525,096",,"36,135",2003,,,0.924701806,0.708669288,0.053008596,0.001832478,0.110948224,0.003964816,0.000832945,0.045445459,0.003565003,0.041880456,0.075298194,,1,1,0,0,1,1,0,1,1,1,0,,1750,1612,513,482,262,336,438,766,451,779,480,,0,0,1,1,1,1,1,1,1,1,1,,709,733,1533,1637,1609,802,1144,1507,867,1523,1521,1ST QUINTILE,0,0,0,0,0,0,0,0,0,0,,585,190,577,349,1429,1087,122,1364,126,81,,2ND QUINTILE,1,0,0,0,0,0,0,0,0,0,,622,210,0,0,0,0,336,0,332,359,,3RD QUINTILE,0,0,0,0,0,0,0,0,0,0,,537,592,390,587,0,0,612,0,610,554,,4TH QUINTILE,0,1,1,0,0,1,0,0,0,1,,388,627,704,718,0,483,647,109,646,568,,,0,0,0,1,1,0,1,1,1,0,,99,612,560,574,797,660,514,758,517,669
MA,Worcester,1005,Martone Landfill,Barre,Private,1976,2015,Closed,"4,964,599","3,845,319",2015,"109,363",2015,1.27,,0.979914197,0.938377535,0.023790952,0,0.006435257,0,0,0.011310452,0.004290172,0.007020281,0.020085803,,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,0,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
MA,Hampden,1020,Chicopee Landfill (Republic),Chicopee,Private,1950,1993,Closed,,"1,000,000",,"273,750",1993,,,0.84230105,0.774910323,0.029992029,0.001693902,0.023083566,0,0,0.01262123,0.000332138,0.012289093,0.15769895,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,1,0,1,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
MA,Hampden,1020,Chicopee Landfill (WMI),Chicopee,Private,1967,2020,Closed,"16,150,632","12,870,494",2019,"229,618",2019,,,0.84230105,0.774910323,0.029992029,0.001693902,0.023083566,0,0,0.01262123,0.000332138,0.012289093,0.15769895,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,1,0,1,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
MA,Hampshire,1033,Granby SLF,Granby,Private,1960,2014,Closed,"7,885,454","6,437,059",2013,"111,159",2013,2.43,,0.960771908,0.922334704,0.010123379,0,0.00790889,0,0.007276178,0.013128757,0,0.013128757,0.039228092,,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
MA,Hampshire,1037,Hardwick Landfill,Hardwick,Private,1970,2007,Closed,"808,307","808,307",2007,"3,284",2007,,,0.945113788,0.929049531,0.008032129,0.002677376,0.005354752,0,0,0,0,0,0.054886212,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,just to check,,,,,,,,,
MA,Hampshire,1062,Northampton Landfill,Florence,Public,1969,2013,Closed,"2,900,522","2,900,518",2013,"6,595",2013,0.849,,0.885179467,0.821015052,0.010999614,0.000771903,0.014473176,0,0,0.037919722,0,0.037919722,0.114820533,,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA
MA,Hampden,1069,Palmer LF,Palmer,Public,1976,1997,Closed,,,,"109,135",1997,,,0.947989715,0.865240767,0.024661057,0,0.024310425,0,0,0.033777466,0,0.033777466,0.052010285,,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,1,1,,,,,,,,,,,,,,0,0,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,2231,2231,2231,2228,2226,2230,2231,2231,2231,2231
MA,Hampshire,1075,South Hadley Landfill LLC,South Hadley,Public,1951,2014,Closed,"1,604,516","1,300,000",2010,"156,000",2010,1.2,,0.935886573,0.847709428,0.017511156,0.000451901,0.043213015,0,0.001920578,0.025080495,0,0.025080495,0.064113427,,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,
MA,Hampden,1085,Westfield Landfill,Westfield,Public,,1997,Closed,,,,,,,,0.905552896,0.851292484,0.013906175,0.001101005,0.028171374,0,0.000263284,0.010818573,0.000406893,0.01041168,0.094447104,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
